epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.0479,1.12462,4.55067,1.27573,0.01926,0.16667,0.04442,0.04087,1.01084,4.31166,1.21426,0,0,0
2,3.99591,1.29248,4.42504,1.31924,0.02051,0.16667,0.04031,0.0372,0.99286,4.23937,1.18936,6.12625e-06,6.12625e-06,6.12625e-06
3,5.89684,1.29294,4.45819,1.26822,0.02607,0.22222,0.04559,0.04124,1.00657,4.0951,1.1745,1.2005e-05,1.2005e-05,1.2005e-05
4,7.85164,1.32228,4.42327,1.27051,0.03331,0.30556,0.0608,0.05192,0.96832,3.88824,1.12076,1.76362e-05,1.76362e-05,1.76362e-05
5,9.81606,0.98167,3.97326,1.12175,0.03633,0.375,0.11541,0.08998,0.96954,3.6654,1.11514,2.302e-05,2.302e-05,2.302e-05
6,11.9356,1.25268,4.04037,1.23074,0.33599,0.18364,0.15451,0.1275,0.96968,3.46102,1.10381,2.81563e-05,2.81563e-05,2.81563e-05
7,14.0903,1.12169,3.91317,1.15027,0.43348,0.25,0.18582,0.1498,0.98419,3.2876,1.09311,3.3045e-05,3.3045e-05,3.3045e-05
8,16.1665,0.95588,3.46551,1.10045,0.44661,0.26172,0.20305,0.1661,0.98438,3.05626,1.07395,3.76863e-05,3.76863e-05,3.76863e-05
9,18.2349,0.85182,3.3612,1.0589,0.45597,0.31533,0.21084,0.17074,0.92972,2.85601,1.05451,4.208e-05,4.208e-05,4.208e-05
10,20.212,0.91365,3.07532,1.06549,0.63844,0.32323,0.31172,0.24437,0.90026,2.74889,1.02915,4.62263e-05,4.62263e-05,4.62263e-05
11,22.2664,0.85979,2.78311,1.04034,0.85079,0.31303,0.4305,0.35874,0.86222,2.7515,1.01123,5.0125e-05,5.0125e-05,5.0125e-05
